sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	186804	Peptostreptococcaceae	family	0.749366154445641	0.8574081811490858	7062446	5292358	6172507.0	0.6788990825688074	0.7789473684210526	109	74	95.0
pool	194924	Desulfovibrionaceae	family	0.8677563772592315	0.8520813703502741	49623512	43061119	50536393.0	0.8650963597430407	0.5880640465793304	467	404	687.0
pool	1903409	Erwiniaceae	family	0.9817688709171373	0.8459615778005265	19608056	19250579	22755855.0	0.9945305378304466	0.7411684782608695	1097	1091	1472.0
pool	1570339	Peptoniphilaceae	family	0.5633123345059582	0.7849899302789337	2816189	1586394	2020910.0	0.36	0.5625	50	18	32.0
pool	84566	Sphingobacteriaceae	family	0.9924985936592624	0.7243257871103589	22766531	22595750	31195562.0	0.9528301886792453	0.599406528189911	212	202	337.0
pool	189779	Nitrospiraceae	family	0.9847369553769085	0.6730269073036272	1445059	1423003	2114333.0	0.9787234042553191	0.4423076923076923	47	46	104.0
pool	89373	Cytophagaceae	family	0.963442115150828	0.6647034088491871	27260959	26264356	39512895.0	0.9416058394160584	0.3654390934844193	137	129	353.0
pool	255475	Aurantimonadaceae	family	0.9813343418245926	0.6382436636823189	8712685	8550057	13396227.0	0.9354838709677419	0.564935064935065	93	87	154.0
pool	186814	Thermoanaerobacteraceae	family	0.8771438690512456	0.5970005138853687	3512458	3080931	5160684.0	0.8	0.4307692307692308	70	56	130.0
pool	31977	Veillonellaceae	family	0.9012861158230103	0.5544529561000542	1790974	1614180	2911302.0	0.8285714285714286	0.3815789473684211	35	29	76.0
pool	203492	Fusobacteriaceae	family	0.9354149692763364	0.5534564653464707	3941099	3686563	6660981.0	0.9512195121951219	0.350561797752809	164	156	445.0
pool	543	Enterobacteriaceae	family	0.554649990408153	0.49666490333226665	9049352	5019223	10105854.0	0.10115606936416185	0.5147058823529411	346	35	68.0
pool	213121	Desulfobulbaceae	family	0.9786887609248414	0.4845306355961627	7942335	7773074	16042482.0	0.9375	0.22658610271903323	80	75	331.0
pool	335929	Erythrobacteraceae	family	1.0	0.4167602595549467	2779355	2779355	6668954.0	1.0	0.41818181818181815	23	23	55.0
pool	186803	Lachnospiraceae	family	0.6393531880079998	0.3946814912474658	13758372	8796459	22287488.0	0.5658362989323843	0.4228723404255319	281	159	376.0
pool	186828	Carnobacteriaceae	family	0.8153704837721985	0.21846547712501502	568284	463362	2120985.0	0.85	0.3090909090909091	20	17	55.0
pool	1963270	Halococcaceae	family			7681	0				1	0	
pool	10139	Caviidae	family			42903	0				1	0	
pool	558415	Marinilabiliaceae	family	0.8051779194804213	0.7628191866959532	4309337	3469783	4548631.0	0.7450980392156863	0.38	51	38	100.0
pool	815	Bacteroidaceae	family	0.0		1765861	0		0.0		36	0	
pool	119859	Tolypothrichaceae	family	0.0		6617032	0		0.0		16	0	
pool	1762	Mycobacteriaceae	family	0.9739631041494937	0.9936632136041018	12563364	12236253	12314286.0	0.7604166666666666	0.6083333333333333	96	73	120.0
pool	2012	Thermomonosporaceae	family	1.0	0.9403559214875613	8797702	8797702	9355715.0	1.0	0.7634408602150538	71	71	93.0
pool	53434	Halobacteroidaceae	family	1.0	0.7403156546300652	2100716	2100716	2837595.0	1.0	0.5370370370370371	29	29	54.0
pool	3700	Brassicaceae	family			65352	0				35	0	
pool	137	Spirochaetaceae	family	0.9905868855803835	0.7940826504428441	4028741	3990818	5025696.0	0.9795918367346939	0.676056338028169	49	48	71.0
pool	3977	Euphorbiaceae	family			253540	0				4	0	
pool	2008795	Azonexaceae	family	0.0		372726	0		0.0		6	0	
pool	563835	Chitinophagaceae	family	0.9951708925037059	0.862245139172134	25363693	25241209	29273820.0	0.9871794871794872	0.48427672955974843	78	77	159.0
pool	135620	Oceanospirillaceae	family	0.9088505024223045	0.5776336166638977	5428302	4933515	8540907.0	0.8653846153846154	0.40540540540540543	52	45	111.0
pool	1300	Streptococcaceae	family	0.0		1740646	0		0.0		25	0	
pool	4070	Solanaceae	family			7317	0				4	0	
pool	9895	Bovidae	family			40136	0				8	0	
pool	135617	Thiotrichaceae	family	1.0	0.17937286039034972	743611	743611	4145616.0	1.0	0.16129032258064516	10	10	62.0
pool	972	Halanaerobiaceae	family			75964	0				5	0	
pool	506	Alcaligenaceae	family	0.9742663227238092	0.9941305436600575	18472836	17997462	18103721.0	0.8028169014084507	0.6	142	114	190.0
pool	2212439	Thiolinaceae	family	0.0		2606843	0		0.0		21	0	
pool	5809	Sarcocystidae	family			57996	0				16	0	
pool	41295	Rhodospirillaceae	family			254601	0				19	0	
pool	200667	Flammeovirgaceae	family	0.9583022774920151	0.9885689405106229	4887701	4683895	4738056.0	0.8214285714285714	0.7931034482758621	28	23	29.0
pool	539000	Clostridiales Family XVII. Incertae Sedis	family			22788	0				1	0	
pool	543371	Thermoanaerobacterales Family III. Incertae Sedis	family	0.0		1501651	0		0.0		42	0	
pool	1213	Prochloraceae	family			1945	0				1	0	
pool	2137278	Salinarimonadaceae	family			85636	0				2	0	
pool	2212440	Thiofilaceae	family			195386	0				5	0	
pool	2092	Mycoplasmataceae	family	0.9993540093151054	0.80332504319505	2492296	2490686	3100471.0	0.9830508474576272	0.5087719298245614	59	58	114.0
pool	206379	Nitrosomonadaceae	family	0.0		372358	0		0.0		20	0	
pool	3065	Volvocaceae	family			632	0				2	0	
pool	2304686	Hungateiclostridiaceae	family	0.0		2025499	0		0.0		31	0	
pool	213422	Geobacteraceae	family	0.718221240257277	0.996498448908715	4950618	3555639	3568133.0	0.7704918032786885	0.9791666666666666	61	47	48.0
pool	1499392	Chromobacteriaceae	family	0.9874698524439702	0.9910932482517242	4378879	4324011	4362870.0	0.8936170212765957	0.8936170212765957	47	42	47.0
pool	83676	Nocardiopsaceae	family			132345	0				4	0	
pool	335928	Xanthobacteraceae	family			56576	0				10	0	
