sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	258	1048582	0.9950752058710708	1.0	5573634	5546185	5546185.0	0.75	1.0	28	21	21.0
pool	128	1048999	0.9923445959992565	1.0	7994614	7933412	7933412.0	0.7857142857142857	1.0	14	11	11.0
pool	96	1030746	1.0	1.0	3547923	3547923	3547923.0	1.0	1.0	2	2	2.0
pool	212	1030743	0.9863019615884082	1.0	3657750	3607646	3607646.0	0.3333333333333333	1.0	9	3	3.0
pool	195	1049029	0.4584012610357135	0.9996181256724079	8782622	4025965	4027503.0	0.06451612903225806	0.9230769230769231	186	12	13.0
pool	121	1048927	0.5119547874301694	0.9995179914702538	9627942	4929071	4931448.0	0.19047619047619047	0.8	21	4	5.0
pool	222	1030725	0.9915316012272138	0.9995084482312137	3402178	3373367	3375026.0	0.8095238095238095	0.9444444444444444	21	17	18.0
pool	185	1048777	1.0	0.9994730924696263	6989952	6989952	6993637.0	1.0	0.8823529411764706	15	15	17.0
pool	6	1220_F	0.5027850068776376	0.9994433668624932	9395668	4724001	4726632.0	0.1044776119402985	0.875	67	7	8.0
pool	170	1053016	0.20427476544246922	0.9991893120411175	37275823	7614510	7620688.0	0.1921182266009852	0.9069767441860465	203	39	43.0
pool	50	1048912	0.5228800532083206	0.9990842712637128	10729149	5610058	5615200.0	0.35714285714285715	0.8333333333333334	28	10	12.0
pool	4	1036563	0.1242111982142789	0.998898834905855	29825934	3704715	3708799.0	0.08275862068965517	0.8	145	12	15.0
pool	200	1053046	0.5721404261300711	0.9985868875505964	9390560	5372719	5380322.0	0.5227272727272727	0.8846153846153846	44	23	26.0
pool	238	1048879	0.9922700856972032	0.9985744584717835	9408125	9335401	9348728.0	0.9215686274509803	0.94	51	47	50.0
pool	247	1036725	0.10574180501810011	0.9984719363880461	20027500	2117744	2120985.0	0.033375314861460954	0.9636363636363636	1588	53	55.0
pool	252	1286_CM	0.5206583078460035	0.998417313086016	7295128	3798269	3804290.0	0.48	0.8571428571428571	25	12	14.0
pool	169	1285_AY	0.2706191064143837	0.9983092351471194	14834348	4014458	4021257.0	0.05726872246696035	0.7647058823529411	227	13	17.0
pool	218	1286_AT	0.4667304830356575	0.9982360017316081	7593663	3544194	3550457.0	0.18518518518518517	0.7142857142857143	27	5	7.0
pool	15	1286_BX	0.8402455421661083	0.9981233485499961	5445582	4575626	4584229.0	0.6052631578947368	0.71875	38	23	32.0
pool	150	1285_L	0.9962070333207136	0.9981009052008525	5544209	5523180	5533689.0	0.8571428571428571	0.631578947368421	28	24	38.0
pool	31	1048864	0.5068083697076531	0.9980693768968193	15969829	8093643	8109299.0	0.546875	0.8974358974358975	64	35	39.0
pool	38	1286_U	0.07566234102025907	0.998038526655593	52776929	3993226	4001074.0	0.112	0.7567567567567568	250	28	37.0
pool	29	1139_CM	0.9928114899539873	0.9980161376025013	3429918	3405262	3412031.0	0.3	0.5	10	3	6.0
pool	20	1139_BD	0.18287268556044167	0.9976679060094661	29239260	5347062	5359561.0	0.17575757575757575	0.6904761904761905	165	29	42.0
pool	229	1036647	0.9985090944487915	0.9976532987703696	3996229	3990271	3999657.0	0.9824561403508771	0.9032258064516129	57	56	62.0
pool	25	1285_AN	0.9985134385112044	0.9976388838512211	4297165	4290777	4300932.0	0.8333333333333334	0.5555555555555556	18	15	27.0
