sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	362	1030743	0.3283532153057102	1.0	10987089	3607646	3607646.0	0.004310344827586207	1.0	696	3	3.0
pool	16	1048999	0.9909438209124128	1.0	8005915	7933412	7933412.0	0.9166666666666666	1.0	12	11	11.0
pool	48	1049029	0.7337819296336016	0.9996181256724079	5486596	4025965	4027503.0	0.11214953271028037	0.9230769230769231	107	12	13.0
pool	218	1048777	1.0	0.9994730924696263	6989952	6989952	6993637.0	1.0	0.8823529411764706	15	15	17.0
pool	241	1287_BW	0.2199726826362407	0.9993809480405355	15551281	3420857	3422976.0	0.17142857142857143	0.6666666666666666	35	6	9.0
pool	405	1030821	0.985924573186116	0.9990061246775445	4161650	4103073	4107155.0	0.9295774647887324	0.9565217391304348	71	66	69.0
pool	266	1021_AG	0.3307222922164117	0.998607751237965	11850190	3919122	3924586.0	0.21428571428571427	0.75	14	3	4.0
pool	308	1053016	0.20416705646659156	0.9983110448820369	37262706	7607817	7620688.0	0.19095477386934673	0.8837209302325582	199	38	43.0
pool	136	1286_AT	0.4265552195694363	0.9982360017316081	8308875	3544194	3550457.0	0.29411764705882354	0.7142857142857143	17	5	7.0
pool	220	1036599	0.9683043981338543	0.9981799306276496	4453457	4312302	4320165.0	0.47058823529411764	0.7272727272727273	34	16	22.0
pool	289	1286_BP	0.4201086663245494	0.9981793352285812	9450950	3970426	3977668.0	0.25806451612903225	0.5714285714285714	31	8	14.0
pool	371	1286_BX	1.0	0.9981233485499961	4575626	4575626	4584229.0	1.0	0.71875	23	23	32.0
pool	50	1036746	0.9587288776917772	0.9980450506749458	2505408	2402007	2406712.0	0.8157894736842105	0.9117647058823529	38	31	34.0
pool	240	1036563	0.941721773078214	0.9978426978652658	3929821	3700798	3708799.0	0.3548387096774194	0.7333333333333333	31	11	15.0
pool	246	1139_BV	0.509806394120924	0.997750078382171	7478182	3812425	3821022.0	0.6666666666666666	0.9032258064516129	42	28	31.0
pool	415	1285_AN	0.9833887812220965	0.9976388838512211	4363256	4290777	4300932.0	0.4838709677419355	0.5555555555555556	31	15	27.0
pool	126	1036638	0.9929399764097833	0.9975944546492942	1643054	1631454	1635388.0	0.9	0.8181818181818182	10	9	11.0
pool	361	1021_B	0.1442593825504235	0.9973287378272427	25037089	3611835	3621509.0	0.0851063829787234	0.4444444444444444	47	4	9.0
pool	21	1036578	0.9548189630255853	0.9972666212017218	2857814	2728695	2736174.0	0.8461538461538461	0.8918918918918919	39	33	37.0
pool	114	1220_BE	0.6521969622836361	0.9970621592247868	7367969	4805367	4819526.0	0.12903225806451613	0.3333333333333333	31	4	12.0
pool	245	1139_AY	0.5045228670193703	0.9969295762863087	11571753	5838214	5856195.0	0.38181818181818183	0.7777777777777778	55	21	27.0
pool	378	1036542	0.7889873185242962	0.9968299457544305	6615555	5219589	5236188.0	0.42105263157894735	0.8888888888888888	38	16	18.0
pool	234	1139_AX	0.9010101577647438	0.9966533615455642	7190263	6478500	6500254.0	0.37209302325581395	0.6153846153846154	86	32	52.0
pool	242	1036659	0.9207063216090375	0.9963783934655039	6005876	5529648	5549747.0	0.6435643564356436	0.9154929577464789	101	65	71.0
pool	399	1285_L	0.5864811786676675	0.9963232483791554	9400716	5513343	5533689.0	0.5675675675675675	0.5526315789473685	37	21	38.0
pool	58	1036590	0.983446508424934	0.9961626758176985	4244603	4174340	4190420.0	0.7777777777777778	0.5833333333333334	9	7	12.0
pool	290	1286_CF	0.9438868150390101	0.995997698138785	4268765	4029231	4045422.0	0.5555555555555556	0.625	27	15	24.0
pool	109	1049023	0.9623640088570254	0.995768119575116	6125307	5894775	5919827.0	0.9285714285714286	0.883495145631068	98	91	103.0
pool	211	1021_BF	0.3396369053087547	0.9954958812709823	17796735	6044428	6071776.0	0.3157894736842105	0.47058823529411764	76	24	51.0
pool	301	1035987	0.9233610552645543	0.9954169483241462	2188039	2020350	2029652.0	0.8095238095238095	0.8717948717948718	42	34	39.0
pool	192	1035990	0.9848238009216389	0.9954129842074128	5887772	5798418	5825138.0	0.868421052631579	0.825	38	33	40.0
pool	205	1048891	0.9994580014286609	0.9951832986038981	3719567	3717551	3735544.0	0.98	0.8448275862068966	50	49	58.0
pool	142	1030725	0.946997700983476	0.9950551492047764	3546299	3358337	3375026.0	0.8421052631578947	0.8888888888888888	19	16	18.0
pool	65	1030791	0.7893811210715386	0.9947184703340415	5377837	4245163	4267703.0	0.7058823529411765	0.7058823529411765	17	12	17.0
pool	306	1048894	0.503860041959461	0.9946733249946328	10418151	5249290	5277401.0	0.6363636363636364	0.7777777777777778	55	35	45.0
pool	363	1139_AQ	0.36277441930767346	0.9946679738164215	12070807	4378980	4402454.0	0.3125	0.5555555555555556	32	10	18.0
pool	427	1036008	0.9861866581014805	0.9942669085860969	3536798	3487943	3508055.0	0.9166666666666666	0.8461538461538461	48	44	52.0
pool	439	1220_AS	0.5100643507533306	0.9941133914399061	5080904	2591588	2606934.0	0.3	0.25	10	3	12.0
pool	54	1365_G	0.5001166339124326	0.9940360114006626	7304908	3653306	3675225.0	0.3829787234042553	0.72	47	18	25.0
pool	44	1049080	1.0	0.9938798737028482	6073585	6073585	6110985.0	1.0	0.7241379310344828	21	21	29.0
pool	93	1030965	0.9776534732423577	0.9936050622253553	4842766	4734547	4765019.0	0.9473684210526315	0.84375	57	54	64.0
pool	390	1048960	0.9731482869188499	0.9935709575652494	3990062	3882922	3908047.0	0.975	0.7959183673469388	40	39	49.0
pool	359	1048582	1.0	0.993369135721221	5509409	5509409	5546185.0	1.0	0.8095238095238095	17	17	21.0
pool	104	1036647	0.9430211171112316	0.993206167428857	4212508	3972484	3999657.0	0.6024096385542169	0.8064516129032258	83	50	62.0
pool	408	1220_N	0.2753170889298251	0.9930014281910651	13248255	3647471	3673178.0	0.06097560975609756	0.38461538461538464	82	5	13.0
pool	14	1220_CG	0.4618535758788891	0.9924311324076728	8073260	3728664	3757101.0	0.3	0.375	10	3	8.0
pool	26	1287_D	0.5030472398362863	0.992254674405821	8629941	4341268	4375155.0	0.46296296296296297	0.5102040816326531	54	25	49.0
pool	329	1035897	0.9992526943870342	0.9922152655731302	3254358	3251926	3277440.0	0.9928057553956835	0.92	139	138	150.0
pool	358	1030722	0.9679034780620099	0.9918079710919895	3257705	3153144	3179188.0	0.86	0.8113207547169812	50	43	53.0
pool	212	1021_O	0.9818149025564612	0.9914214164429946	6570215	6450735	6506552.0	0.8695652173913043	0.5555555555555556	23	20	36.0
pool	300	1049077	0.9908793397092822	0.9913921070244299	4205178	4166824	4203003.0	0.9473684210526315	0.6666666666666666	19	18	27.0
pool	255	1035984	0.9806495436726727	0.9913401336515032	2810373	2755991	2780066.0	0.9605263157894737	0.8488372093023255	76	73	86.0
