sample_id	Bin ID	Mapped genome	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	26	1030746	1.0	1.0	3547923	3547923	3547923.0	1.0	1.0	2	2	2.0
pool	42	1030743	1.0	1.0	3607646	3607646	3607646.0	1.0	1.0	3	3	3.0
pool	464	1048927	0.49454086520228224	0.9995179914702538	9966964	4929071	4931448.0	0.5714285714285714	0.8	7	4	5.0
pool	118	1220_F	0.543392542479565	0.9994433668624932	8693533	4724001	4726632.0	0.1590909090909091	0.875	44	7	8.0
pool	126	1030821	1.0	0.9990061246775445	4103073	4103073	4107155.0	1.0	0.9565217391304348	66	66	69.0
pool	478	1048888	1.0	0.9989801053979852	8628358	8628358	8637167.0	1.0	0.8780487804878049	36	36	41.0
pool	21	1036647	0.9985110460738524	0.9989629110696242	4001467	3995509	3999657.0	0.9833333333333333	0.9516129032258065	60	59	62.0
pool	171	1285_BA	0.12132723321123334	0.9985701524502957	36154249	4386495	4392776.0	0.05263157894736842	0.6666666666666666	114	6	9.0
pool	65	1048915	0.376798957215028	0.9984861211528374	14953802	5634577	5643120.0	0.18309859154929578	0.8125	71	13	16.0
pool	209	1286_CB	0.5047832248448169	0.998380825582047	7834777	3954864	3961278.0	0.5263157894736842	0.7692307692307693	19	10	13.0
pool	173	1139_O	0.503876105520428	0.9979692421322351	5223671	2632083	2637439.0	0.75	0.9	12	9	10.0
pool	471	1048876	0.9971382953246346	0.9977869965875732	9002676	8976913	8996823.0	0.9333333333333333	0.875	30	28	32.0
pool	77	1139_BV	0.9450827338602102	0.997750078382171	4033959	3812425	3821022.0	0.9655172413793104	0.9032258064516129	29	28	31.0
pool	683	1048864	0.6386449828501284	0.9972525368715595	12662777	8087019	8109299.0	0.8095238095238095	0.8717948717948718	42	34	39.0
pool	147	1220_BE	1.0	0.9970621592247868	4805367	4805367	4819526.0	1.0	0.3333333333333333	4	4	12.0
pool	122	1048777	1.0	0.9966092034802493	6969923	6969923	6993637.0	1.0	0.8235294117647058	14	14	17.0
pool	582	1048762	0.9967461780576913	0.9964204384413148	3273074	3262424	3274144.0	0.9565217391304348	0.88	23	22	25.0
pool	544	1030872	1.0	0.9957092228752713	4727950	4727950	4748324.0	1.0	0.7777777777777778	21	21	27.0
pool	469	1285_BE	0.5076120975587788	0.9957006321750359	9237467	4689050	4709297.0	0.5	0.6086956521739131	28	14	23.0
pool	635	1286_BX	1.0	0.9950936133426145	4561737	4561737	4584229.0	1.0	0.6875	22	22	32.0
pool	446	1030725	1.0	0.9950551492047764	3358337	3358337	3375026.0	1.0	0.8888888888888888	16	16	18.0
pool	48	1035897	1.0	0.9949600908025776	3260922	3260922	3277440.0	1.0	0.9533333333333334	143	143	150.0
pool	86	1036599	0.9864416084444112	0.9948874637889988	4357154	4298078	4320165.0	0.9285714285714286	0.5909090909090909	14	13	22.0
pool	143	1139_AY	0.48324185668975383	0.9945438975307346	12052439	5824243	5856195.0	0.3584905660377358	0.7037037037037037	53	19	27.0
pool	174	1220_CE	0.5280425882574372	0.9941821922094363	7852681	4146550	4170815.0	0.6	0.5	20	12	24.0
pool	211	1285_E	0.21803081713441747	0.9940396758430323	18954715	4132712	4157492.0	0.20588235294117646	0.3888888888888889	34	7	18.0
pool	276	1049053	1.0	0.9940123828313828	4799388	4799388	4828298.0	1.0	0.7333333333333333	22	22	30.0
pool	537	1286_AE	0.9853561484818824	0.9939247153164338	4757833	4688160	4716816.0	0.9696969696969697	0.7272727272727273	33	32	44.0
pool	468	1285_L	1.0	0.9937916641141199	5499334	5499334	5533689.0	1.0	0.5263157894736842	20	20	38.0
pool	603	1139_AR	1.0	0.9936310047517759	4576104	4576104	4605436.0	1.0	0.6271186440677966	37	37	59.0
pool	263	1048960	0.89821616192366	0.9935709575652494	4322926	3882922	3908047.0	0.8125	0.7959183673469388	48	39	49.0
pool	99	1049023	0.9997409130875612	0.9933857864427457	5882196	5880672	5919827.0	0.9888888888888889	0.8640776699029126	90	89	103.0
pool	117	1030722	0.9876136076106738	0.9932397832402488	3197299	3157696	3179188.0	0.9183673469387755	0.8490566037735849	49	45	53.0
pool	24	1049080	0.9876466671483162	0.9932326785289115	6145548	6069630	6110985.0	0.9523809523809523	0.6896551724137931	21	20	29.0
pool	643	1036746	0.9779686165006433	0.9930523469364012	2443832	2389991	2406712.0	0.90625	0.8529411764705882	32	29	34.0
pool	470	1048924	0.6775495201850237	0.9930117492479403	7397539	5012199	5047472.0	0.5909090909090909	0.65	22	13	20.0
pool	600	1220_N	0.3684161192904012	0.9930014281910651	9900411	3647471	3673178.0	0.23809523809523808	0.38461538461538464	21	5	13.0
pool	237	1049211	0.27628141214485247	0.992767433546884	12745548	3521358	3547012.0	0.2549019607843137	0.7222222222222222	51	13	18.0
pool	390	1220_CG	0.4183374183529013	0.9924311324076728	8913054	3728664	3757101.0	0.42857142857142855	0.375	7	3	8.0
pool	40	1035975	0.9552710378706336	0.9922703847239607	6527538	6235568	6284142.0	0.6666666666666666	0.7076923076923077	69	46	65.0
pool	80	1287_B	0.9957454109171787	0.9919979501384716	6772922	6744106	6798508.0	0.96875	0.5794392523364486	64	62	107.0
pool	664	1139_BD	0.38889114421144405	0.9919976654804377	13671363	5316672	5359561.0	0.4482758620689655	0.6190476190476191	58	26	42.0
pool	587	1030857	1.0	0.9917087130207844	5373892	5373892	5418821.0	1.0	0.7894736842105263	45	45	57.0
pool	394	1021_O	1.0	0.9914214164429946	6450735	6450735	6506552.0	1.0	0.5555555555555556	20	20	36.0
pool	477	1220_AQ	1.0	0.9912081236272307	4349900	4349900	4388483.0	1.0	0.5121951219512195	21	21	41.0
pool	451	1035990	0.9956065634265977	0.9911571193678158	5799105	5773627	5825138.0	0.96875	0.775	32	31	40.0
pool	253	1049008	0.5216117428342872	0.9908554922558416	9838170	5131705	5179065.0	0.6176470588235294	0.75	68	42	56.0
pool	380	1139_BI	1.0	0.9908152596657184	4760147	4760147	4804273.0	1.0	0.5	7	7	14.0
pool	92	1048657	1.0	0.9907284491264386	3790532	3790532	3826005.0	1.0	0.9154929577464789	130	130	142.0
pool	367	1285_U	0.41697658977212154	0.9906637761462586	11899457	4961795	5008556.0	0.625	0.46875	24	15	32.0
pool	177	1048894	1.0	0.9902908647646824	5226162	5226162	5277401.0	1.0	0.7333333333333333	33	33	45.0
pool	583	1036002	1.0	0.9898683331982508	4103614	4103614	4145616.0	1.0	0.7903225806451613	49	49	62.0
pool	207	1285_AJ	0.213537051990547	0.9898160655984711	18642966	3980964	4021923.0	0.3611111111111111	0.5416666666666666	36	13	24.0
pool	248	1049077	1.0	0.9893861603239398	4158393	4158393	4203003.0	1.0	0.6296296296296297	17	17	27.0
pool	12	1048906	1.0	0.9891943828463227	4433132	4433132	4481558.0	1.0	0.8229166666666666	79	79	96.0
pool	102	1036563	0.17731125294687097	0.9890393089514962	20687621	3668148	3708799.0	0.2647058823529412	0.6	34	9	15.0
pool	487	1286_AD	0.5290477146827859	0.9888294618376181	8081307	4275397	4323695.0	0.4482758620689655	0.5416666666666666	29	13	24.0
pool	366	1287_BR	0.9732192914284775	0.9885028954150071	5837971	5681626	5747708.0	0.975609756097561	0.5	41	40	80.0
pool	22	1036677	1.0	0.9879032220217425	3157559	3157559	3196223.0	1.0	0.6666666666666666	26	26	39.0
pool	595	1021_BF	0.5134500399937544	0.9878547891094797	11681824	5998033	6071776.0	0.4888888888888889	0.43137254901960786	45	22	51.0
pool	688	1048999	1.0	0.9868242062809798	7828883	7828883	7933412.0	1.0	0.7272727272727273	8	8	11.0
pool	318	1139_AX	1.0	0.986796823631815	6414430	6414430	6500254.0	1.0	0.5961538461538461	31	31	52.0
pool	447	1220_AM	1.0	0.9865804174039595	3375945	3375945	3421865.0	1.0	0.6	15	15	25.0
pool	463	1048981	1.0	0.9864347246083975	4235584	4235584	4293831.0	1.0	0.5789473684210527	22	22	38.0
pool	60	1285_BT	1.0	0.9857246094835733	5142338	5142338	5216810.0	1.0	0.4473684210526316	17	17	38.0
pool	38	1286_AY	1.0	0.9852101465108953	3471851	3471851	3523970.0	1.0	0.5454545454545454	12	12	22.0
pool	584	1036008	1.0	0.9850931641607672	3455761	3455761	3508055.0	1.0	0.7884615384615384	41	41	52.0
pool	176	1048900	1.0	0.984993781618298	5110787	5110787	5188649.0	1.0	0.5666666666666667	17	17	30.0
pool	578	1036602	1.0	0.9847054390431887	2474743	2474743	2513181.0	1.0	0.8285714285714286	29	29	35.0
pool	18	1030794	0.6088875755769954	0.9845938064532296	15228675	9272551	9417641.0	0.6666666666666666	0.5405405405405406	30	20	37.0
pool	444	1220_AF	0.2695700525854991	0.984496113753208	16527370	4455284	4525446.0	0.2736842105263158	0.5306122448979592	95	26	49.0
pool	71	1035978	0.9139578390466061	0.9842268032356158	2750175	2513544	2553826.0	0.9178470254957507	0.8617021276595744	353	324	376.0
pool	670	1220_L	1.0	0.9835682220359504	10560572	10560572	10737000.0	1.0	0.5864661654135338	78	78	133.0
pool	713	1220_I	0.519059928846027	0.9834198616992165	12752907	6619523	6731126.0	0.5384615384615384	0.5894736842105263	104	56	95.0
pool	552	1286_AQ	1.0	0.9830428803549972	2921571	2921571	2971967.0	1.0	0.48148148148148145	13	13	27.0
pool	287	1021_Y	0.5117861978100062	0.982893281238085	10628067	5439298	5533966.0	0.32653061224489793	0.3137254901960784	49	16	51.0
pool	149	1048903	1.0	0.9828738473265465	5276343	5276343	5368281.0	1.0	0.7647058823529411	26	26	34.0
pool	655	1048879	1.0	0.9824788998032673	9184928	9184928	9348728.0	1.0	0.82	41	41	50.0
pool	592	1030758	0.9379827555236213	0.9816825419312777	3117520	2924180	2978743.0	0.8333333333333334	0.625	6	5	8.0
pool	252	1049041	1.0	0.9816707808309977	4891853	4891853	4983191.0	1.0	0.6909090909090909	38	38	55.0
pool	119	1286_CK	0.5203850779744218	0.9813737927883829	9643034	5018091	5113333.0	0.40350877192982454	0.4339622641509434	57	23	53.0
pool	273	evo_1048963.035	0.33622680941025807	0.981317726220561	15557873	5230974	5330561.0	0.35714285714285715	0.75	84	30	40.0
pool	59	1285_A	0.998485161991738	0.9812732436925206	6442273	6432514	6555273.0	0.9772727272727273	0.6615384615384615	44	43	65.0
pool	148	1139_AO	1.0	0.9812724290649398	5269692	5269692	5370264.0	1.0	0.5	25	25	50.0
pool	594	1287_Y	1.0	0.9810900606630854	3956021	3956021	4032271.0	1.0	0.5	16	16	32.0
pool	634	1285_AF	0.3345928092254178	0.9810136846898466	19741545	6605379	6733218.0	0.3008849557522124	0.6181818181818182	113	34	55.0
pool	103	1035912	1.0	0.9807768525372583	935412	935412	953746.0	1.0	0.76	19	19	25.0
pool	256	1048855	1.0	0.9806925034233449	4646576	4646576	4738056.0	1.0	0.5172413793103449	15	15	29.0
pool	123	1030773	0.9963870427115351	0.9806667903271471	2520373	2511267	2560775.0	0.9916666666666667	0.8880597014925373	120	119	134.0
pool	545	1285_G	0.963177489976869	0.9804866814598576	4906401	4725735	4819785.0	0.8717948717948718	0.5573770491803278	39	34	61.0
pool	703	1285_CM	1.0	0.980443723074756	5749472	5749472	5864153.0	1.0	0.5675675675675675	42	42	74.0
pool	254	1035987	0.9192735007787353	0.9803069688793941	2164407	1989682	2029652.0	0.9393939393939394	0.7948717948717948	33	31	39.0
pool	637	1048990	1.0	0.9802068965306645	3209959	3209959	3274777.0	1.0	0.45454545454545453	10	10	22.0
pool	326	1036656	0.9972655411939774	0.9800887790953587	3351303	3342139	3410037.0	0.9876543209876543	0.8	81	80	100.0
pool	283	1287_BU	0.5945626724321615	0.9799338778655814	6514156	3873074	3952383.0	0.16393442622950818	0.5555555555555556	61	10	18.0
pool	196	evo_1036686.006	0.3636918882362132	0.9798112641013729	11475667	4173607	4259603.0	0.43902439024390244	0.7659574468085106	82	36	47.0
pool	622	1036575	0.9895856514702684	0.9798076165916628	5545042	5487294	5600379.0	0.9666666666666667	0.7631578947368421	30	29	38.0
pool	565	1036545	0.3619275673330519	0.9794872158034693	11464689	4149387	4236285.0	0.5614035087719298	0.7901234567901234	114	64	81.0
pool	632	1220_BA	0.21583823737983115	0.9794600216401761	29190180	6300357	6432480.0	0.20833333333333334	0.43478260869565216	96	20	46.0
pool	91	1036596	1.0	0.9794504189672177	4929429	4929429	5032852.0	1.0	0.6271186440677966	37	37	59.0
pool	221	1030791	0.584058005043771	0.9791951314325293	7154964	4178914	4267703.0	0.4583333333333333	0.6470588235294118	24	11	17.0
pool	155	1036590	1.0	0.9787906701476224	4101544	4101544	4190420.0	1.0	0.5	6	6	12.0
pool	314	1287_AA	1.0	0.9780947444987467	6324031	6324031	6465663.0	1.0	0.6	81	81	135.0
pool	7	1036548	0.5560145985935172	0.9780196568769224	10667603	5931343	6064646.0	0.6203703703703703	0.6504854368932039	108	67	103.0
pool	404	1048984	1.0	0.977871539047557	5939182	5939182	6073581.0	1.0	0.6	54	54	90.0
pool	303	1035996	1.0	0.9778189321978749	3488988	3488988	3568133.0	1.0	0.7708333333333334	37	37	48.0
pool	113	1035933	1.0	0.9777258915567343	2450931	2450931	2506767.0	1.0	0.6111111111111112	22	22	36.0
pool	331	1048774	1.0	0.9776909640504854	3873857	3873857	3962251.0	1.0	0.6153846153846154	16	16	26.0
pool	4	1139_CH	1.0	0.9776409575718014	3765172	3765172	3851283.0	1.0	0.4411764705882353	15	15	34.0
pool	627	1049059	0.2752980039912072	0.9776052184322654	15300634	4212234	4308727.0	0.1414141414141414	0.6511627906976745	198	28	43.0
pool	382	1286_H	0.23379506546453374	0.977601499709467	21091955	4931195	5044177.0	0.38596491228070173	0.4583333333333333	57	22	48.0
pool	121	1036632	0.981598248332315	0.9771518724134931	4177048	4100183	4196055.0	0.96	0.6	25	24	40.0
pool	579	1036764	1.0	0.9769982383547052	2384755	2384755	2440900.0	1.0	0.6923076923076923	36	36	52.0
pool	466	1048933	0.5063750581561657	0.9753417972963411	8928546	4521193	4635496.0	0.4074074074074074	0.3235294117647059	27	11	34.0
pool	317	1220_AC	1.0	0.9752836953990718	8112914	8112914	8318517.0	1.0	0.5857142857142857	41	41	70.0
pool	453	1036659	1.0	0.9750631875651269	5411354	5411354	5549747.0	1.0	0.7887323943661971	56	56	71.0
pool	240	1286_CF	1.0	0.9746983133032846	3943066	3943066	4045422.0	1.0	0.5	12	12	24.0
pool	656	1365_E	0.3436416589240646	0.9745595874591951	14791539	5082989	5215678.0	0.35802469135802467	0.5	81	29	58.0
pool	546	evo_1048963.008	1.0	0.9745314879834897	5039353	5039353	5171052.0	1.0	0.7428571428571429	26	26	35.0
pool	234	1220_AA	1.0	0.9733354592987481	5286436	5286436	5431258.0	1.0	0.5393258426966292	48	48	89.0
pool	193	1036710	0.5188681325786951	0.9732403829394515	9340988	4846741	4980004.0	0.6170212765957447	0.4603174603174603	47	29	63.0
pool	457	1036719	1.0	0.9732219661153013	6439837	6439837	6617028.0	1.0	0.7432432432432432	55	55	74.0
pool	589	1286_E	0.5469138321997682	0.9730442947494857	10226291	5592900	5747837.0	0.578125	0.4868421052631579	64	37	76.0
pool	572	1036797	0.9938564372136226	0.9725119518705481	4291321	4264957	4385506.0	0.9230769230769231	0.6666666666666666	13	12	18.0
pool	353	1286_BG	1.0	0.9723486464910371	5024247	5024247	5167125.0	1.0	0.4918032786885246	30	30	61.0
pool	227	1049017	1.0	0.9721897417439677	6820227	6820227	7015325.0	1.0	0.4634146341463415	19	19	41.0
pool	680	1030947	1.0	0.9718532469191291	9092382	9092382	9355715.0	1.0	0.7526881720430108	70	70	93.0
pool	472	1021_Q	0.1774588532625137	0.9714932536315135	29753331	5279992	5434924.0	0.19672131147540983	0.5106382978723404	122	24	47.0
pool	549	evo_1048972.030	0.33874279846152955	0.9713799394242593	8775729	2972715	3060301.0	0.3333333333333333	0.5185185185185185	42	14	27.0
pool	63	1036623	0.9771389755322487	0.971342352862174	2131663	2082931	2144384.0	0.8695652173913043	0.7407407407407407	23	20	27.0
pool	213	1286_AN	0.20437162697544667	0.9704547307073136	16777598	3428865	3533256.0	0.3103448275862069	0.47368421052631576	29	9	19.0
pool	69	1035972	1.0	0.9704454487312526	2291212	2291212	2360990.0	1.0	0.9009009009009009	100	100	111.0
pool	50	1139_CB	0.3593901988955006	0.9703596773964699	18268186	6565407	6765952.0	0.3893805309734513	0.5365853658536586	113	44	82.0
pool	228	1030860	1.0	0.970340868165159	4671906	4671906	4814706.0	1.0	0.6595744680851063	31	31	47.0
pool	277	1286_AB	1.0	0.9701689186441548	4652219	4652219	4795267.0	1.0	0.5476190476190477	23	23	42.0
pool	307	1286_CH	0.3347056623959986	0.9692889449238726	18458158	6178050	6373796.0	0.25308641975308643	0.45555555555555555	162	41	90.0
pool	301	1048891	1.0	0.9691993990701221	3620487	3620487	3735544.0	1.0	0.7241379310344828	42	42	58.0
