sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	119069	Hydrogenophilales	order			12826	0				1	0	
pool	526525	Erysipelotrichales	order			79000	0				3	0	
pool	742030	Salinisphaerales	order			12396	0				1	0	
pool	1442155	Ferrovales	order			13486	0				2	0	
pool	135613	Chromatiales	order			46849	0				3	0	
pool	71239	Cucurbitales	order			22201	0				1	0	
pool	85014	Glycomycetales	order	0.9920923079187302	0.3646246924687871	2038395	2022276	5546185.0	0.8	0.19047619047619047	5	4	21.0
pool	1775403	Nevskiales	order			96210	0				1	0	
pool	766	Rickettsiales	order			42838	0				1	0	
pool	649776	Synergistales	order			69605	0				1	0	
pool	1100069	Bacteroidetes Order II. Incertae sedis	order			29081	0				1	0	
pool	204433	Acidobacteriales	order			89917	0				2	0	
pool	1644055	Haloferacales	order			41962	0				5	0	
pool	403667	Vitales	order			8777	0				1	0	
pool	1706369	Cellvibrionales	order			18367	0				2	0	
pool	7952	Cypriniformes	order			56088	0				1	0	
pool	135618	Methylococcales	order			66346	0				2	0	
pool	639021	Magnaporthales	order			11584	0				1	0	
pool	84999	Coriobacteriales	order			39968	0				2	0	
pool	4618	Zingiberales	order			1543	0				1	0	
pool	7399	Hymenoptera	order			85150	0				1	0	
pool	8509	Squamata	order			66895	0				1	0	
pool	1775898	Togniniales	order			1029	0				1	0	
pool	7147	Diptera	order			14919	0				3	0	
pool	588673	Solirubrobacterales	order			20349	0				1	0	
pool	5178	Helotiales	order			26725	0				1	0	
pool	31932	Nitrosopumilales	order			103205	0				1	0	
pool	28883	Caudovirales	order			82671	0				2	0	
pool	68933	Thermales	order			53619	0				1	0	
pool	255473	Parvularculales	order			977	0				1	0	
pool	2058949	Dictyosteliales	order			23630	0				1	0	
pool	28738	Cyprinodontiformes	order			36344	0				1	0	
pool	33554	Carnivora	order			10038	0				1	0	
pool	7991	Characiformes	order			48325	0				1	0	
pool	1890424	Synechococcales	order			15538	0				2	0	
pool	1643686	Brachyspirales	order			17852	0				1	0	
pool	186328	Entomoplasmatales	order			3934	0				1	0	
pool	1853223	Balneolales	order			22391	0				1	0	
pool	4892	Saccharomycetales	order			203850	0				1	0	
pool	135625	Pasteurellales	order			228798	0				3	0	
pool	72025	Fabales	order			2183	0				1	0	
pool	453227	Desulfarculales	order			55184	0				1	0	
pool	232378	Proteales	order			2541	0				1	0	
pool	5338	Agaricales	order			3889	0				1	0	
pool	2258	Thermococcales	order			86058	0				1	0	
pool	9721	Cetacea	order			32830	0				1	0	
pool	225057	Acidithiobacillales	order			3634	0				1	0	
pool	1936988	Saprospirales	order			113577	0				1	0	
pool	4776	Peronosporales	order			178406	0				1	0	
pool	431958	Wallemiales	order			5704	0				1	0	
pool	2138246	Coprothermobacterales	order			3423	0				1	0	
pool	1643947	Petrotogales	order		0.0	0	0	2311198.0		0.0	0	0	88.0
pool	213462	Syntrophobacterales	order		0.0	0	0	15571397.0		0.0	0	0	253.0
pool	622452	Kineosporiales	order		0.0	0	0	3851283.0		0.0	0	0	34.0
pool	2062	Streptomycetaceae	family	0.7491671824950844	0.9917495771917701	88227012	66096782	66646645.0	0.9342301943198804	0.8787346221441125	2676	2500	2845.0
pool	1499392	Chromobacteriaceae	family	0.9735367098280352	0.9910932482517242	4441549	4324011	4362870.0	0.875	0.8936170212765957	48	42	47.0
pool	119045	Methylobacteriaceae	family	0.9964505408593821	0.9731340382617042	158847018	158283197	162653027.0	0.9950172479877347	0.7185164683088846	2609	2596	3613.0
pool	135621	Pseudomonadaceae	family	0.9625039100727933	0.9673999011247196	109902046	105781149	109345834.0	0.9694928684627575	0.7911412867765923	2524	2447	3093.0
pool	85023	Microbacteriaceae	family	0.9980232489269882	0.9667321542792517	188796154	188422951	194907090.0	0.9935424354243543	0.5953565505804311	1084	1077	1809.0
pool	5148	Sordariaceae	family	0.0		7138147	0		0.0		74	0	
pool	1843491	Selenomonadaceae	family	0.975922799501127	0.979995625657954	5849185	5708353	5824876.0	0.9620253164556962	0.95	79	76	80.0
pool	2236	Halobacteriaceae	family	1.0	0.9744444169843377	22592639	22592639	23185149.0	1.0	0.8988970588235294	489	489	544.0
pool	186817	Bacillaceae	family	0.9721400359829442	0.9743302810737103	41129486	39983620	41037029.0	0.9736842105263158	0.7302631578947368	684	666	912.0
pool	189779	Nitrospiraceae	family	1.0	0.35315250719730523	746682	746682	2114333.0	1.0	0.18269230769230768	19	19	104.0
pool	188709	Thermotogaceae	family	0.0		345847	0		0.0		3	0	
pool	171552	Prevotellaceae	family	0.8922552132192144	1.0	3927132	3504004	3504004.0	0.8780487804878049	1.0	123	108	108.0
pool	28056	Micromonosporaceae	family			171768	0				11	0	
pool	468	Moraxellaceae	family	0.8895743280087581	0.9996833457671412	4546153	4044141	4045422.0	0.7	0.875	30	21	24.0
pool	1775411	Rhodanobacteraceae	family	0.5204683049626526	0.9986097604293688	14173670	7376946	7387216.0	0.525	0.875	120	63	72.0
pool	41294	Bradyrhizobiaceae	family	0.8662601288359972	0.9724982765755794	33540626	29054907	29876564.0	0.78099173553719	0.7529880478087649	242	189	251.0
pool	85025	Nocardiaceae	family	0.9854404846147555	0.9661749066067518	51194149	50448787	52214963.0	0.9125475285171103	0.712166172106825	263	240	337.0
pool	83763	Succinivibrionaceae	family	0.9731432877607278	0.932522906098134	2553142	2484573	2664356.0	0.967391304347826	0.8557692307692307	92	89	104.0
pool	641	Vibrionaceae	family	0.9189429346158401	0.9228152739309442	15039713	13820638	14976603.0	0.9376947040498442	0.7359413202933985	321	301	409.0
pool	85021	Intrasporangiaceae	family	0.9353138699795145	0.9019109974534542	29776677	27850539	30879476.0	0.859504132231405	0.5591397849462365	121	104	186.0
