sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	2	Bacteria	superkingdom	0.9972423797320543	0.9976190922245639	2773339422	2765691605	2772292177.0	0.9853208984051652	0.8714006832601269	36242	35710	40980.0
pool	2157	Archaea	superkingdom	0.9991196456906652	0.9972034684788957	23140683	23120311	23185149.0	0.9882121807465619	0.9246323529411765	509	503	544.0
pool	201174	Actinobacteria	phylum	0.9986312605820232	0.998169895388064	643126068	642245796	643423328.0	0.9676302318578741	0.8058934169278997	6642	6427	7975.0
pool	1224	Proteobacteria	phylum	0.9965746317444705	0.997400468869474	1522305519	1517091062	1521045066.0	0.9669150083325164	0.8453462461432979	20402	19727	23336.0
pool	28890	Euryarchaeota	phylum	0.9999391481203949	0.9972034684788957	23121718	23120311	23185149.0	0.998015873015873	0.9246323529411765	504	503	544.0
pool	74201	Verrucomicrobia	phylum	0.9904883747541761	0.9968030569504934	16534188	16376921	16429445.0	0.7391304347826086	0.8031496062992126	138	102	127.0
pool	200918	Thermotogae	phylum	0.9649062430920775	0.9961300088491652	6288070	6067398	6090970.0	0.7023809523809523	0.9365079365079365	168	118	126.0
pool	976	Bacteroidetes	phylum	0.9971163048680997	0.995289628765632	295122737	294271693	295664382.0	0.94221260815822	0.8462392450735499	3236	3049	3603.0
pool	65842	Fibrobacteres	phylum	0.9925985938241644	0.9947401020308534	3284511	3260201	3277440.0	0.9662162162162162	0.9533333333333334	148	143	150.0
pool	203691	Spirochaetes	phylum	0.964077952157006	0.9904194364322871	5163013	4977547	5025696.0	0.8382352941176471	0.8028169014084507	68	57	71.0
pool	1239	Firmicutes	phylum	0.9913065596577573	0.9812252179186552	266719723	264401011	269460065.0	0.9199457259158752	0.8253195374315276	4422	4068	4929.0
pool	32066	Fusobacteria	phylum	0.9968930284738796	0.9615616678684415	6424906	6404944	6660981.0	0.9761904761904762	0.7370786516853932	336	328	445.0
pool	544448	Tenericutes	phylum	0.9205445798374872	0.9612742709091618	3237652	2980403	3100471.0	0.6285714285714286	0.7719298245614035	140	88	114.0
pool	40117	Nitrospirae	phylum		0.6793012264387871	1498337	1436269	2114333.0		0.625	70	65	104.0
pool	1117	Cyanobacteria	phylum			148369	0				6	0	
pool	1760	Actinobacteria	class	0.9988328699755281	0.9981844700109526	640126622	639379511	640542435.0	0.9708339662767735	0.8053175403225806	6583	6391	7936.0
pool	28211	Alphaproteobacteria	class	0.9851884152663899	0.9976674254198132	844423215	831915969	833861012.0	0.9631514883257718	0.7952489721333943	9037	8704	10945.0
pool	183963	Halobacteria	class	0.9999391481203949	0.9972034684788957	23121718	23120311	23185149.0	0.998015873015873	0.9246323529411765	504	503	544.0
pool	203494	Verrucomicrobiae	class	0.9933278036989918	0.9968030569504934	16486925	16376921	16429445.0	0.8031496062992126	0.8031496062992126	127	102	127.0
pool	29547	Epsilonproteobacteria	class	0.3839852531456548	0.9962700644665978	4724533	1814151	1820943.0	0.4496124031007752	0.9354838709677419	129	58	62.0
pool	188708	Thermotogae	class	0.9741348597792181	0.9961300088491652	6228499	6067398	6090970.0	0.7972972972972973	0.9365079365079365	148	118	126.0
pool	204430	Fibrobacteria	class	0.9925985938241644	0.9947401020308534	3284511	3260201	3277440.0	0.9662162162162162	0.9533333333333334	148	143	150.0
pool	117743	Flavobacteriia	class	0.9969202325248052	0.9944045043093419	140626201	140193105	140981969.0	0.9491525423728814	0.7957894736842105	1593	1512	1900.0
pool	84998	Coriobacteriia	class	0.953887151160581	0.9931410156503556	2999446	2861133	2880893.0	0.5423728813559322	0.8205128205128205	59	32	39.0
pool	1236	Gammaproteobacteria	class	0.985610585387106	0.9931147780926397	285723854	281612455	283564862.0	0.9254863171777118	0.8404191616766467	6066	5614	6680.0
pool	203692	Spirochaetia	class	0.964077952157006	0.9904194364322871	5163013	4977547	5025696.0	0.8382352941176471	0.8028169014084507	68	57	71.0
pool	909932	Negativicutes	class	0.9916173306572384	0.9900264165862921	8722162	8649047	8736178.0	0.8993288590604027	0.8589743589743589	149	134	156.0
pool	117747	Sphingobacteriia	class	0.9895907387342622	0.9884974343465908	31161097	30836733	31195562.0	0.8688524590163934	0.7863501483679525	305	265	337.0
pool	1853228	Chitinophagia	class	0.9977188382440809	0.9873302493490771	28969011	28902928	29273820.0	0.8813559322033898	0.6540880503144654	118	104	159.0
pool	186801	Clostridia	class	0.9563845277289912	0.9854813157419227	132961761	127162571	129036004.0	0.8441822620016274	0.9057180270624181	2458	2075	2291.0
pool	28216	Betaproteobacteria	class	0.9957772786080414	0.9843513436898483	250768853	249709926	253679672.0	0.880901287553648	0.7151567944250871	2796	2463	3444.0
pool	200643	Bacteroidia	class	0.7508167998376841	0.9828788787990501	21405183	16071371	16351324.0	0.6832971800433839	0.773955773955774	461	315	407.0
pool	91061	Bacilli	class	0.9968733433203854	0.9664044557798144	113129146	112775430	116695892.0	0.9478079331941545	0.6458036984352774	1437	1362	2109.0
pool	203490	Fusobacteriia	class	0.9968930284738796	0.9615616678684415	6424906	6404944	6660981.0	0.9761904761904762	0.7370786516853932	336	328	445.0
pool	31969	Mollicutes	class	0.9205445798374872	0.9612742709091618	3237652	2980403	3100471.0	0.6285714285714286	0.7719298245614035	140	88	114.0
pool	768503	Cytophagia	class	0.9967719953587657	0.9264732919354054	72370404	72136792	77861707.0	0.8906752411575563	0.6925	622	554	800.0
