sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	2157	Archaea	superkingdom	1.0	0.02052149848163581	475794	475794	23185149.0	1.0	0.014705882352941176	8	8	544.0
pool	2	Bacteria	superkingdom	0.9971338609563363	0.01763343034531818	49025535	48885021	2772292177.0	0.9882179675994109	0.016373840897999023	679	671	40980.0
pool	2759	Eukaryota	superkingdom			739	0				1	0	
pool	203691	Spirochaetes	phylum	1.0	0.08415013562300624	422913	422913	5025696.0	1.0	0.014084507042253521	1	1	71.0
pool	40117	Nitrospirae	phylum	1.0	0.04431468458374343	93696	93696	2114333.0	1.0	0.009615384615384616	1	1	104.0
pool	74201	Verrucomicrobia	phylum	1.0	0.026016277482288658	427433	427433	16429445.0	1.0	0.031496062992125984	4	4	127.0
pool	976	Bacteroidetes	phylum	0.9998401693103031	0.0214752110384402	6350470	6349455	295664382.0	0.9824561403508771	0.015542603386067166	57	56	3603.0
pool	28890	Euryarchaeota	phylum	1.0	0.02052149848163581	475794	475794	23185149.0	1.0	0.014705882352941176	8	8	544.0
pool	201174	Actinobacteria	phylum	0.9992362585406954	0.016883405570274877	10871480	10863177	643423328.0	0.9912280701754386	0.014169278996865204	114	113	7975.0
pool	1224	Proteobacteria	phylum	0.9976139979636474	0.016454563089191205	25087992	25028132	1521045066.0	0.9972451790633609	0.015512512855673637	363	362	23336.0
pool	1239	Firmicutes	phylum	0.9846663081706308	0.01578586051331948	4319899	4253659	269460065.0	0.9384615384615385	0.012375735443294785	65	61	4929.0
pool	200918	Thermotogae	phylum		0.006074566120010442	37000	37000	6090970.0		0.007936507936507936	1	1	126.0
pool	32066	Fusobacteria	phylum		0.0051228189961808925	34123	34123	6660981.0		0.006741573033707865	3	3	445.0
pool	4890	Ascomycota	phylum			739	0				1	0	
pool	544448	Tenericutes	phylum		0.002434791359119308	7549	7549	3100471.0		0.008771929824561403	1	1	114.0
pool	65842	Fibrobacteres	phylum		0.0	0	0	3277440.0		0.0	0	0	150.0
pool	203693	Nitrospira	class	1.0	0.04431468458374343	93696	93696	2114333.0	1.0	0.009615384615384616	1	1	104.0
pool	117743	Flavobacteriia	class	1.0	0.02882850926844411	4064300	4064300	140981969.0	1.0	0.01631578947368421	31	31	1900.0
pool	203494	Verrucomicrobiae	class	1.0	0.026016277482288658	427433	427433	16429445.0	1.0	0.031496062992125984	4	4	127.0
pool	183963	Halobacteria	class	1.0	0.02052149848163581	475794	475794	23185149.0	1.0	0.014705882352941176	8	8	544.0
pool	200643	Bacteroidia	class	1.0	0.019037724406904297	311292	311292	16351324.0	1.0	0.012285012285012284	5	5	407.0
pool	28216	Betaproteobacteria	class	1.0	0.018598281694403956	4718006	4718006	253679672.0	1.0	0.013066202090592335	45	45	3444.0
